Week,Supplier,Material,No_of_Material,Machine,No_of_Product,Product,Customer_id,Product_Target,Delivery,Delayed_Delivery,Deli_Delay_Limit,Extra_Delay,Customer_Validity,High_Delay,Cust_Churn
Week1,S2,Met3,453,Mach2,160.0,P1,C9,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,396,Mach2,136.0,P1,C3,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,68,Mach1,68.0,P1,C13,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,227,Mach1,126.0,P3,C12,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met3,91,Mach2,91.0,P1,C12,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met1,212,Mach1,212.0,P3,C8,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met2,60,Mach1,60.0,P3,C1,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met2,69,Mach1,69.0,P1,C3,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met2,331,Mach3,86.0,P2,C11,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,200,Mach1,117.0,P1,C17,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met3,141,Mach3,141.0,P2,C15,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met1,347,Mach2,300.0,P1,C10,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,279,Mach1,279.0,P3,C12,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met1,278,Mach1,278.0,P2,C18,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met2,497,Mach3,174.0,P3,C18,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met2,64,Mach3,64.0,P1,C2,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,323,Mach2,214.0,P2,C6,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met3,163,Mach1,163.0,P3,C16,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met3,216,Mach2,216.0,P1,C12,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met1,498,Mach3,199.0,P1,C14,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met1,384,Mach1,124.0,P3,C18,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,464,Mach3,211.0,P3,C7,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met1,462,Mach3,89.0,P1,C16,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met1,283,Mach3,83.0,P3,C8,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met3,256,Mach1,256.0,P1,C3,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met1,489,Mach2,99.0,P1,C8,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,237,Mach2,177.0,P2,C14,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met1,265,Mach1,265.0,P1,C3,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met1,185,Mach1,69.0,P3,C3,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,256,Mach1,112.0,P1,C11,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,139,Mach1,139.0,P3,C8,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met3,405,Mach2,57.0,P3,C15,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met1,222,Mach3,166.0,P2,C6,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met3,432,Mach3,84.0,P2,C8,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met3,156,Mach1,156.0,P1,C8,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,473,Mach2,106.0,P1,C5,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met1,347,Mach1,65.0,P1,C16,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met1,122,Mach1,117.0,P2,C1,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met2,126,Mach1,73.0,P2,C3,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met1,457,Mach1,378.0,P3,C3,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,340,Mach2,340.0,P2,C4,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met2,465,Mach1,287.0,P1,C17,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met2,292,Mach3,138.0,P2,C1,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met2,278,Mach1,112.0,P2,C12,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,254,Mach3,76.0,P3,C19,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met1,351,Mach2,290.0,P1,C16,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met1,84,Mach3,84.0,P1,C8,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,178,Mach3,178.0,P2,C9,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met3,172,Mach2,92.0,P2,C9,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met1,464,Mach1,125.0,P3,C3,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,475,Mach2,62.0,P1,C18,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met2,453,Mach2,347.0,P1,C12,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met2,71,Mach3,71.0,P3,C10,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met2,72,Mach2,72.0,P2,C2,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,443,Mach1,147.0,P1,C14,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met1,66,Mach1,66.0,P3,C9,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,313,Mach3,163.0,P2,C3,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met2,448,Mach1,301.0,P1,C13,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,422,Mach1,238.0,P2,C5,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met2,455,Mach1,82.0,P3,C7,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,219,Mach2,198.0,P2,C7,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,392,Mach1,50.0,P2,C11,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met1,190,Mach2,190.0,P1,C7,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met2,89,Mach2,89.0,P1,C11,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met1,328,Mach1,196.0,P2,C12,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,263,Mach1,144.0,P3,C2,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met1,427,Mach3,94.0,P3,C10,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,390,Mach3,81.0,P2,C18,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met2,382,Mach3,380.0,P2,C20,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met2,306,Mach1,254.0,P1,C10,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met1,153,Mach1,153.0,P3,C7,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met3,217,Mach1,187.0,P3,C2,250.0,No,Yes,3,11,Not_Existing,True,True
