asin,demand,constraint,submitted,confirmed,tr,received,week
EB34C1AD1A,0.0,1.0,-1.0,0.0,0.0,-0.0,w1
1FEBC9808F,2.0,4.0,-1.0,-1.0,2.0,-3.0,w1
43AE3A942F,3.0,1.0,6.0,6.0,3.0,3.0,w1
37C7E58D69,1.0,1.0,1.0,1.0,1.0,0.0,w1
5A9660A4F3,1.0,0.0,1.0,1.0,2.0,-1.0,w1
35B8A147D3,1.0,1.0,1.0,1.0,1.0,0.0,w1
4FA1B4593C,1.0,2.0,-2.0,-1.0,1.0,-1.0,w1
F917A0CEC2,4.0,2.0,3.0,3.0,2.0,1.0,w1
9302944020,5.0,1.0,7.0,7.0,3.0,3.0,w1
6A05C9065C,3.0,3.0,1.0,1.0,1.0,-0.0,w1
E5F0E38FA1,2.0,2.0,-0.0,-0.0,0.0,-1.0,w1
71F5973D0B,2.0,1.0,1.0,1.0,1.0,1.0,w1
2FDFC3F81B,2.0,1.0,1.0,1.0,5.0,-3.0,w1
688ABD9BB1,4.0,0.0,3.0,3.0,3.0,1.0,w1
3D1E5B90E4,1.0,2.0,-0.0,-0.0,2.0,-2.0,w1
9C0C69F3AD,5.0,0.0,8.0,8.0,6.0,3.0,w1
B08ECE887A,1.0,0.0,1.0,1.0,1.0,1.0,w1
E18430D58C,5.0,3.0,2.0,2.0,3.0,-2.0,w1
9104BD910E,2.0,0.0,4.0,4.0,2.0,2.0,w1
AC860C453F,0.0,0.0,0.0,1.0,1.0,0.0,w1
9AE376E5F2,5.0,2.0,4.0,4.0,5.0,-2.0,w1
1CA16BCCD9,2.0,3.0,2.0,2.0,2.0,3.0,w1
8F601F5D05,0.0,0.0,2.0,2.0,1.0,1.0,w1
7AE26DF754,0.0,0.0,2.0,2.0,6.0,-4.0,w1
B74756AB33,1.0,2.0,-1.0,-1.0,0.0,-0.0,w1
12683EC3CE,4.0,5.0,0.0,0.0,0.0,0.0,w1
7E9E33C54F,3.0,0.0,3.0,4.0,2.0,2.0,w1
19D5FE8FC4,1.0,0.0,1.0,1.0,1.0,1.0,w1
D536951E60,0.0,0.0,1.0,1.0,2.0,-1.0,w1
DBA5C3EC0E,4.0,2.0,3.0,3.0,1.0,1.0,w1
A61EB2B4CE,2.0,0.0,2.0,2.0,1.0,1.0,w1
D101CB5FE4,0.0,3.0,-2.0,-2.0,-1.0,-1.0,w1
5AAE1DEC12,1.0,1.0,2.0,2.0,3.0,-1.0,w1
27CC90340C,3.0,1.0,3.0,3.0,2.0,1.0,w1
4827FE2266,0.0,1.0,1.0,1.0,1.0,-0.0,w1
115EC76FE2,1.0,1.0,2.0,2.0,1.0,1.0,w1
E12776A4C3,3.0,3.0,-0.0,-0.0,-0.0,0.0,w1
A7333BF405,2.0,2.0,-0.0,-0.0,3.0,-2.0,w1
F5677FA56E,1.0,1.0,1.0,1.0,1.0,-0.0,w1
0B8197DBD9,4.0,1.0,5.0,5.0,3.0,2.0,w1
4F4CA17D7B,1.0,1.0,1.0,1.0,1.0,1.0,w1
840D8FDE03,1.0,2.0,-0.0,-0.0,0.0,-0.0,w1
7765F34AD2,4.0,2.0,2.0,2.0,2.0,-0.0,w1
E95B3E1912,1.0,1.0,0.0,0.0,3.0,-2.0,w1
4D44854E74,2.0,1.0,1.0,1.0,1.0,1.0,w1
A9F1FA54F1,1.0,0.0,1.0,1.0,1.0,-0.0,w1
98BFB0C10B,3.0,0.0,3.0,3.0,3.0,1.0,w1
D9282479E1,1.0,2.0,0.0,0.0,0.0,-0.0,w1
AF57F8EEC1,2.0,0.0,3.0,3.0,2.0,1.0,w1
7B6FC42DA3,3.0,1.0,4.0,4.0,2.0,1.0,w1
E8901AB423,1.0,1.0,2.0,2.0,2.0,1.0,w1
CC857C1F23,4.0,1.0,3.0,3.0,2.0,2.0,w1
8286946EA6,5.0,0.0,6.0,6.0,3.0,3.0,w1
A52E46FADA,3.0,2.0,1.0,1.0,1.0,0.0,w1
438E74D048,2.0,1.0,1.0,1.0,1.0,1.0,w1
AE87036194,1.0,0.0,3.0,3.0,2.0,1.0,w1
29448FAE00,2.0,0.0,2.0,2.0,1.0,1.0,w1
9FF98BC0C3,0.0,2.0,0.0,0.0,0.0,1.0,w1
18C9703EE8,2.0,0.0,2.0,2.0,2.0,0.0,w1
D843E01DF8,2.0,0.0,2.0,2.0,1.0,1.0,w1
BFF70E3F03,1.0,1.0,3.0,3.0,2.0,1.0,w1
9DF94AA54B,2.0,1.0,2.0,2.0,1.0,0.0,w1
8944DAB52A,2.0,1.0,2.0,2.0,3.0,-1.0,w1
0D777F7E2B,2.0,2.0,5.0,5.0,2.0,2.0,w1
92D97652EA,0.0,2.0,-1.0,-1.0,6.0,-7.0,w1
8DE21EBE8B,2.0,0.0,2.0,2.0,3.0,-1.0,w1
9CB2648050,1.0,1.0,1.0,1.0,1.0,0.0,w1
4CC833DD39,2.0,0.0,2.0,2.0,1.0,1.0,w1
F2F9FF7DCA,2.0,0.0,2.0,2.0,2.0,-0.0,w1
A401626467,4.0,0.0,4.0,4.0,3.0,2.0,w1
D897A7C66A,3.0,1.0,3.0,3.0,2.0,1.0,w1
7D758162EA,1.0,0.0,1.0,2.0,3.0,-1.0,w1
84AFFCD056,0.0,1.0,3.0,3.0,4.0,-0.0,w1
FF356E48D3,0.0,0.0,3.0,3.0,2.0,1.0,w1
7DD566BF26,2.0,1.0,1.0,2.0,3.0,-1.0,w1
A01098111D,2.0,1.0,3.0,4.0,3.0,2.0,w1
CF5E16D747,2.0,0.0,3.0,3.0,1.0,1.0,w1
BEEBBE7A0B,1.0,0.0,2.0,2.0,1.0,0.0,w1
F2EED760A2,4.0,0.0,4.0,4.0,2.0,1.0,w1
9A607F2E4D,2.0,0.0,2.0,2.0,2.0,0.0,w1
5F071DD341,2.0,0.0,2.0,2.0,1.0,0.0,w1
0872B43D41,1.0,0.0,2.0,2.0,1.0,1.0,w1
DB59B6E323,2.0,1.0,2.0,3.0,2.0,1.0,w1
5A82C7FFFE,3.0,1.0,2.0,2.0,2.0,1.0,w1
1C833055E9,1.0,1.0,2.0,2.0,2.0,0.0,w1
4E551F88BC,6.0,0.0,6.0,6.0,8.0,-2.0,w1
BA5DC2585A,1.0,1.0,2.0,2.0,1.0,1.0,w1
5396C19F14,1.0,2.0,1.0,1.0,3.0,-2.0,w1
24F4C7D789,1.0,1.0,0.0,0.0,1.0,-0.0,w1
0A364C74BF,1.0,1.0,1.0,1.0,4.0,-3.0,w1
3ED1696C6B,2.0,2.0,1.0,1.0,0.0,0.0,w1
93292AAA32,5.0,0.0,5.0,5.0,4.0,1.0,w1
